,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
0,25.799999237060547,0,0
1,12.399999618530273,10000,10
2,197.0,20000,20
3,378.3999938964844,30000,30
4,602.7000122070312,40000,40
5,918.7999877929688,50000,50
6,863.2999877929688,60000,60
7,696.9000244140625,70000,70
8,933.2000122070312,80000,80
9,939.2999877929688,90000,90
10,949.5999755859375,100000,100
11,945.0999755859375,110000,110
12,968.0,120000,120
13,948.2000122070312,130000,130
14,954.7999877929688,140000,140
15,958.4000244140625,150000,150
16,961.0999755859375,160000,160
17,954.9000244140625,170000,170
18,962.0,180000,180
19,959.9000244140625,190000,190
20,961.9000244140625,200000,200
21,956.9000244140625,210000,210
22,968.5,220000,220
23,956.7000122070312,230000,230
24,959.0,240000,240
25,857.9000244140625,250000,250
26,954.9000244140625,260000,260
27,961.2000122070312,270000,270
28,956.4000244140625,280000,280
29,956.2999877929688,290000,290
30,956.9000244140625,300000,300
31,962.9000244140625,310000,310
32,411.1000061035156,320000,320
33,973.2999877929688,330000,330
34,955.5,340000,340
35,955.7999877929688,350000,350
36,963.5,360000,360
37,959.4000244140625,370000,370
38,959.7000122070312,380000,380
39,964.0,390000,390
40,969.2999877929688,400000,400
41,671.4000244140625,410000,410
42,956.0999755859375,420000,420
43,966.2000122070312,430000,430
44,960.7000122070312,440000,440
45,972.7000122070312,450000,450
46,962.5999755859375,460000,460
47,950.7999877929688,470000,470
48,968.2000122070312,480000,480
49,961.5,490000,490
50,960.0999755859375,500000,500
51,961.4000244140625,510000,510
52,964.7999877929688,520000,520
53,971.2999877929688,530000,530
54,969.0,540000,540
55,199.10000610351562,550000,550
56,962.4000244140625,560000,560
57,959.7999877929688,570000,570
58,933.5999755859375,580000,580
59,960.0,590000,590
60,975.4000244140625,600000,600
61,965.2000122070312,610000,610
62,961.0,620000,620
63,962.2999877929688,630000,630
64,965.2000122070312,640000,640
65,974.7000122070312,650000,650
66,966.4000244140625,660000,660
67,100.0,670000,670
68,950.2000122070312,680000,680
69,965.7000122070312,690000,690
