,domain_name,task_name,action_repeat,decoder_var,trial_id,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
0,cartpole,swingup,4.0,0.004,0,119.61392974853516,0,0.0
1,cartpole,swingup,4.0,0.004,0,165.57183837890625,10000,10.0
2,cartpole,swingup,4.0,0.004,0,119.64481353759766,20000,20.0
3,cartpole,swingup,4.0,0.004,0,209.9376678466797,30000,30.0
4,cartpole,swingup,4.0,0.004,0,228.228515625,40000,40.0
5,cartpole,swingup,4.0,0.004,0,193.27037048339844,50000,50.0
6,cartpole,swingup,4.0,0.004,0,252.91226196289062,60000,60.0
7,cartpole,swingup,4.0,0.004,0,225.3206024169922,70000,70.0
8,cartpole,swingup,4.0,0.004,0,234.3666534423828,80000,80.0
9,cartpole,swingup,4.0,0.004,0,242.04379272460938,90000,90.0
10,cartpole,swingup,4.0,0.004,0,245.64071655273438,100000,100.0
11,cartpole,swingup,4.0,0.004,0,249.2519989013672,110000,110.0
12,cartpole,swingup,4.0,0.004,0,316.56329345703125,120000,120.0
13,cartpole,swingup,4.0,0.004,0,352.23321533203125,130000,130.0
14,cartpole,swingup,4.0,0.004,0,353.7819519042969,140000,140.0
15,cartpole,swingup,4.0,0.004,0,302.44268798828125,150000,150.0
16,cartpole,swingup,4.0,0.004,0,288.8811340332031,160000,160.0
17,cartpole,swingup,4.0,0.004,0,358.3768005371094,170000,170.0
18,cartpole,swingup,4.0,0.004,0,344.355712890625,180000,180.0
19,cartpole,swingup,4.0,0.004,0,413.35369873046875,190000,190.0
20,cartpole,swingup,4.0,0.004,0,414.86004638671875,200000,200.0
21,cartpole,swingup,4.0,0.004,0,511.38690185546875,210000,210.0
22,cartpole,swingup,4.0,0.004,0,463.17822265625,220000,220.0
23,cartpole,swingup,4.0,0.004,0,502.10198974609375,230000,230.0
24,cartpole,swingup,4.0,0.004,0,493.1888732910156,240000,240.0
25,cartpole,swingup,4.0,0.004,0,454.26666259765625,250000,250.0
26,cartpole,swingup,4.0,0.004,0,461.3681640625,260000,260.0
27,cartpole,swingup,4.0,0.004,0,507.8184509277344,270000,270.0
28,cartpole,swingup,4.0,0.004,0,484.542236328125,280000,280.0
29,cartpole,swingup,4.0,0.004,0,480.102294921875,290000,290.0
30,cartpole,swingup,4.0,0.004,0,512.3101196289062,300000,300.0
31,cartpole,swingup,4.0,0.004,0,479.03497314453125,310000,310.0
32,cartpole,swingup,4.0,0.004,0,521.5106811523438,320000,320.0
33,cartpole,swingup,4.0,0.004,0,509.2001037597656,330000,330.0
34,cartpole,swingup,4.0,0.004,0,592.6754760742188,340000,340.0
35,cartpole,swingup,4.0,0.004,0,590.8145141601562,350000,350.0
36,cartpole,swingup,4.0,0.004,0,609.9063720703125,360000,360.0
37,cartpole,swingup,4.0,0.004,0,480.7496643066406,370000,370.0
38,cartpole,swingup,4.0,0.004,0,555.356201171875,380000,380.0
39,cartpole,swingup,4.0,0.004,0,638.0001220703125,390000,390.0
40,cartpole,swingup,4.0,0.004,0,707.2822875976562,400000,400.0
41,cartpole,swingup,4.0,0.004,0,626.3314208984375,410000,410.0
42,cartpole,swingup,4.0,0.004,0,627.9041137695312,420000,420.0
43,cartpole,swingup,4.0,0.004,0,733.4865112304688,430000,430.0
44,cartpole,swingup,4.0,0.004,0,755.6036987304688,440000,440.0
45,cartpole,swingup,4.0,0.004,0,702.43017578125,450000,450.0
46,cartpole,swingup,4.0,0.004,0,783.8760986328125,460000,460.0
47,cartpole,swingup,4.0,0.004,0,650.3438720703125,470000,470.0
48,cartpole,swingup,4.0,0.004,0,781.1673583984375,480000,480.0
49,cartpole,swingup,4.0,0.004,0,775.3697509765625,490000,490.0
50,cartpole,swingup,4.0,0.004,0,776.1248779296875,500000,500.0
51,cartpole,swingup,4.0,0.004,0,753.5388793945312,510000,510.0
52,cartpole,swingup,4.0,0.004,0,769.6968383789062,520000,520.0
53,cartpole,swingup,4.0,0.004,0,768.0200805664062,530000,530.0
54,cartpole,swingup,4.0,0.004,0,751.6912841796875,540000,540.0
55,cartpole,swingup,4.0,0.004,0,563.9198608398438,550000,550.0
56,cartpole,swingup,4.0,0.004,0,736.161865234375,560000,560.0
57,cartpole,swingup,4.0,0.004,0,758.54150390625,570000,570.0
58,cartpole,swingup,4.0,0.004,0,737.857666015625,580000,580.0
59,cartpole,swingup,4.0,0.004,0,763.3753051757812,590000,590.0
60,cartpole,swingup,4.0,0.004,0,769.5831909179688,600000,600.0
61,cartpole,swingup,4.0,0.004,0,668.8304443359375,610000,610.0
62,cartpole,swingup,4.0,0.004,0,775.1844482421875,620000,620.0
63,cartpole,swingup,4.0,0.004,0,770.8515014648438,630000,630.0
64,cartpole,swingup,4.0,0.004,0,771.5933227539062,640000,640.0
65,cartpole,swingup,4.0,0.004,0,766.8679809570312,650000,650.0
66,cartpole,swingup,4.0,0.004,0,762.5293579101562,660000,660.0
67,cartpole,swingup,4.0,0.004,0,782.9796752929688,670000,670.0
68,cartpole,swingup,4.0,0.004,0,779.2168579101562,680000,680.0
69,cartpole,swingup,4.0,0.004,0,777.8340454101562,690000,690.0
70,cartpole,swingup,4.0,0.004,0,781.5836791992188,700000,700.0
71,cartpole,swingup,4.0,0.004,0,766.8988037109375,710000,710.0
72,cartpole,swingup,4.0,0.004,0,781.8956298828125,720000,720.0
