,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
0,17.55874252319336,0,0
1,10.638978958129883,10000,10
2,15.274169921875,20000,20
3,50.8033447265625,30000,30
4,91.07112884521484,40000,40
5,200.98056030273438,50000,50
6,326.7046813964844,60000,60
7,306.59429931640625,70000,70
8,381.92706298828125,80000,80
9,395.3383483886719,90000,90
10,416.1849060058594,100000,100
11,430.476806640625,110000,110
12,472.28125,120000,120
13,441.58917236328125,130000,130
14,515.5621337890625,140000,140
15,535.669189453125,150000,150
16,543.3515625,160000,160
17,517.803466796875,170000,170
18,517.6998901367188,180000,180
19,543.6476440429688,190000,190
20,573.6470947265625,200000,200
21,592.9674682617188,210000,210
22,589.7079467773438,220000,220
23,612.45751953125,230000,230
24,574.15185546875,240000,240
25,628.460205078125,250000,250
26,636.8629760742188,260000,260
27,595.4641723632812,270000,270
28,653.7425537109375,280000,280
29,643.8970336914062,290000,290
30,639.0946044921875,300000,300
31,635.915771484375,310000,310
32,658.931640625,320000,320
33,639.0051879882812,330000,330
34,644.0025634765625,340000,340
35,681.916015625,350000,350
36,660.8909912109375,360000,360
37,705.2319946289062,370000,370
38,679.3303833007812,380000,380
39,688.1134033203125,390000,390
40,690.6004638671875,400000,400
41,704.12451171875,410000,410
42,700.522705078125,420000,420
43,585.8133544921875,430000,430
44,702.7821044921875,440000,440
45,723.7034912109375,450000,450
46,709.7235107421875,460000,460
47,738.1126708984375,470000,470
48,720.5940551757812,480000,480
49,747.2482299804688,490000,490
50,722.3897094726562,500000,500
51,754.9855346679688,510000,510
52,737.5792846679688,520000,520
53,750.9820556640625,530000,530
54,749.2908935546875,540000,540
55,764.1910400390625,550000,550
56,773.785400390625,560000,560
57,766.5731811523438,570000,570
58,778.3594970703125,580000,580
59,775.8123779296875,590000,590
60,777.1920166015625,600000,600
61,775.8948974609375,610000,610
62,791.154296875,620000,620
63,769.9934692382812,630000,630
64,773.8638305664062,640000,640
65,772.7478637695312,650000,650
66,793.6073608398438,660000,660
67,793.0217895507812,670000,670
68,799.1990966796875,680000,680
69,791.580810546875,690000,690
70,796.604248046875,700000,700
71,797.6026611328125,710000,710
72,803.2490234375,720000,720
73,770.827880859375,730000,730
74,713.5518188476562,740000,740
75,809.1783447265625,750000,750
76,822.8170166015625,760000,760
77,822.6207885742188,770000,770
78,730.0426025390625,780000,780
79,793.0569458007812,790000,790
80,822.0270385742188,800000,800
81,751.8758544921875,810000,810
82,825.3177490234375,820000,820
83,819.8762817382812,830000,830
84,824.3070068359375,840000,840
85,790.9436645507812,850000,850
86,821.4147338867188,860000,860
87,832.4229736328125,870000,870
88,820.4169921875,880000,880
89,809.584228515625,890000,890
90,839.6814575195312,900000,900
91,827.4052734375,910000,910
