,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
0,2.299999952316284,0,0
1,0.0,10000,10
2,7.0,20000,20
3,192.39999389648438,30000,30
4,670.2000122070312,40000,40
5,899.9000244140625,50000,50
6,940.2000122070312,60000,60
7,926.0,70000,70
8,953.5999755859375,80000,80
9,976.2999877929688,90000,90
10,881.0,100000,100
11,980.2999877929688,110000,110
12,983.4000244140625,120000,120
13,982.2000122070312,130000,130
14,919.7000122070312,140000,140
15,980.4000244140625,150000,150
16,985.2999877929688,160000,160
17,987.2999877929688,170000,170
18,888.5999755859375,180000,180
19,886.7999877929688,190000,190
20,772.7999877929688,200000,200
21,982.2000122070312,210000,210
22,973.2999877929688,220000,220
23,963.5,230000,230
24,987.2000122070312,240000,240
25,983.0,250000,250
26,984.7999877929688,260000,260
27,977.0999755859375,270000,270
28,984.9000244140625,280000,280
29,986.0999755859375,290000,290
30,976.0,300000,300
31,985.2999877929688,310000,310
32,988.2000122070312,320000,320
33,982.0999755859375,330000,330
34,986.7999877929688,340000,340
35,988.4000244140625,350000,350
36,988.5,360000,360
37,988.4000244140625,370000,370
38,987.4000244140625,380000,380
39,981.7999877929688,390000,390
40,985.7999877929688,400000,400
41,736.0999755859375,410000,410
42,982.7000122070312,420000,420
43,983.2000122070312,430000,430
44,983.9000244140625,440000,440
45,986.7999877929688,450000,450
46,967.7000122070312,460000,460
47,987.0999755859375,470000,470
48,982.5,480000,480
49,988.4000244140625,490000,490
50,985.2000122070312,500000,500
51,987.7000122070312,510000,510
52,979.5999755859375,520000,520
53,955.9000244140625,530000,530
54,985.5,540000,540
55,985.5,550000,550
56,870.5999755859375,560000,560
57,984.2999877929688,570000,570
58,987.7000122070312,580000,580
59,977.5,590000,590
60,968.2000122070312,600000,600
61,989.2000122070312,610000,610
62,989.2999877929688,620000,620
63,983.2999877929688,630000,630
64,969.2999877929688,640000,640
65,869.4000244140625,650000,650
66,915.0999755859375,660000,660
67,971.4000244140625,670000,670
68,985.2999877929688,680000,680
69,872.0,690000,690
70,941.0999755859375,700000,700
71,964.9000244140625,710000,710
72,981.5999755859375,720000,720
73,851.0,730000,730
74,860.0999755859375,740000,740
75,885.2999877929688,750000,750
76,983.2000122070312,760000,760
77,961.2000122070312,770000,770
78,958.7000122070312,780000,780
79,982.9000244140625,790000,790
80,987.2000122070312,800000,800
81,212.39999389648438,810000,810
82,949.5,820000,820
83,979.9000244140625,830000,830
84,985.5,840000,840
85,983.5999755859375,850000,850
86,947.5,860000,860
87,887.0999755859375,870000,870
88,985.5999755859375,880000,880
89,368.5,890000,890
90,672.2000122070312,900000,900
91,983.5999755859375,910000,910
92,958.2999877929688,920000,920
93,700.0999755859375,930000,930
94,985.0,940000,940
95,986.4000244140625,950000,950
96,984.2999877929688,960000,960
97,923.5999755859375,970000,970
98,884.2000122070312,980000,980
99,987.5,990000,990
100,981.7999877929688,1000000,1000
101,987.2000122070312,1010000,1010
102,715.0,1020000,1020
103,860.5,1030000,1030
104,984.5,1040000,1040
105,892.7000122070312,1050000,1050
106,981.7000122070312,1060000,1060
107,978.2999877929688,1070000,1070
108,988.0999755859375,1080000,1080
109,886.0999755859375,1090000,1090
110,986.5,1100000,1100
111,985.0,1110000,1110
112,986.4000244140625,1120000,1120
113,819.0,1130000,1130
114,967.2000122070312,1140000,1140
115,982.0,1150000,1150
116,983.0,1160000,1160
117,458.3999938964844,1170000,1170
118,975.9000244140625,1180000,1180
119,973.0999755859375,1190000,1190
120,982.0999755859375,1200000,1200
121,977.7000122070312,1210000,1210
122,978.9000244140625,1220000,1220
123,983.5,1230000,1230
124,985.2000122070312,1240000,1240
125,988.5999755859375,1250000,1250
126,973.0,1260000,1260
127,985.4000244140625,1270000,1270
128,909.2999877929688,1280000,1280
129,987.2000122070312,1290000,1290
130,978.0999755859375,1300000,1300
131,983.7999877929688,1310000,1310
132,978.2000122070312,1320000,1320
133,987.0,1330000,1330
134,983.2999877929688,1340000,1340
135,871.0,1350000,1350
136,987.0999755859375,1360000,1360
137,886.4000244140625,1370000,1370
138,944.7999877929688,1380000,1380
139,889.5999755859375,1390000,1390
140,985.4000244140625,1400000,1400
141,887.0999755859375,1410000,1410
142,964.0999755859375,1420000,1420
143,964.0999755859375,1430000,1430
144,984.2999877929688,1440000,1440
145,983.0,1450000,1450
146,985.0999755859375,1460000,1460
147,888.2000122070312,1470000,1470
148,984.4000244140625,1480000,1480
149,937.2999877929688,1490000,1490
150,972.0999755859375,1500000,1500
151,960.7999877929688,1510000,1510
152,686.0,1520000,1520
153,984.2000122070312,1530000,1530
154,987.7000122070312,1540000,1540
155,985.9000244140625,1550000,1550
156,881.0999755859375,1560000,1560
157,973.9000244140625,1570000,1570
158,983.2999877929688,1580000,1580
159,988.2000122070312,1590000,1590
160,977.7000122070312,1600000,1600
161,958.7999877929688,1610000,1610
162,974.7999877929688,1620000,1620
163,982.5,1630000,1630
164,986.2000122070312,1640000,1640
165,592.2999877929688,1650000,1650
166,986.7999877929688,1660000,1660
167,888.9000244140625,1670000,1670
168,977.7999877929688,1680000,1680
169,862.5,1690000,1690
170,925.5999755859375,1700000,1700
171,983.2999877929688,1710000,1710
172,926.5999755859375,1720000,1720
173,968.0,1730000,1730
174,984.2999877929688,1740000,1740
175,983.5,1750000,1750
176,987.5,1760000,1760
177,979.5,1770000,1770
178,986.5,1780000,1780
179,901.4000244140625,1790000,1790
180,981.7000122070312,1800000,1800
181,980.7999877929688,1810000,1810
182,979.9000244140625,1820000,1820
183,980.7000122070312,1830000,1830
184,987.4000244140625,1840000,1840
185,953.0999755859375,1850000,1850
186,986.0999755859375,1860000,1860
187,984.0999755859375,1870000,1870
188,926.7999877929688,1880000,1880
189,984.0999755859375,1890000,1890
190,970.9000244140625,1900000,1900
191,976.2999877929688,1910000,1910
192,920.9000244140625,1920000,1920
193,873.9000244140625,1930000,1930
194,682.0,1940000,1940
