,domain_name,task_name,action_repeat,decoder_var,trial_id,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
0,finger,spin,1.0,0.004,0,5.699999809265137,0,0.0
1,finger,spin,1.0,0.004,0,0.0,10000,10.0
2,finger,spin,1.0,0.004,0,11.199999809265137,20000,20.0
3,finger,spin,1.0,0.004,0,412.1000061035156,30000,30.0
4,finger,spin,1.0,0.004,0,376.70001220703125,40000,40.0
5,finger,spin,1.0,0.004,0,506.0,50000,50.0
6,finger,spin,1.0,0.004,0,673.4000244140625,60000,60.0
7,finger,spin,1.0,0.004,0,784.2000122070312,70000,70.0
8,finger,spin,1.0,0.004,0,853.4000244140625,80000,80.0
9,finger,spin,1.0,0.004,0,685.5999755859375,90000,90.0
10,finger,spin,1.0,0.004,0,686.5999755859375,100000,100.0
11,finger,spin,1.0,0.004,0,849.0,110000,110.0
12,finger,spin,1.0,0.004,0,890.2000122070312,120000,120.0
13,finger,spin,1.0,0.004,0,894.7999877929688,130000,130.0
14,finger,spin,1.0,0.004,0,903.7000122070312,140000,140.0
15,finger,spin,1.0,0.004,0,916.2000122070312,150000,150.0
16,finger,spin,1.0,0.004,0,927.2000122070312,160000,160.0
17,finger,spin,1.0,0.004,0,947.2000122070312,170000,170.0
18,finger,spin,1.0,0.004,0,954.4000244140625,180000,180.0
19,finger,spin,1.0,0.004,0,854.0999755859375,190000,190.0
20,finger,spin,1.0,0.004,0,966.5999755859375,200000,200.0
21,finger,spin,1.0,0.004,0,977.7999877929688,210000,210.0
22,finger,spin,1.0,0.004,0,968.7000122070312,220000,220.0
23,finger,spin,1.0,0.004,0,982.7000122070312,230000,230.0
24,finger,spin,1.0,0.004,0,983.9000244140625,240000,240.0
25,finger,spin,1.0,0.004,0,980.4000244140625,250000,250.0
26,finger,spin,1.0,0.004,0,978.7000122070312,260000,260.0
27,finger,spin,1.0,0.004,0,984.0,270000,270.0
28,finger,spin,1.0,0.004,0,883.7999877929688,280000,280.0
29,finger,spin,1.0,0.004,0,880.5,290000,290.0
30,finger,spin,1.0,0.004,0,885.4000244140625,300000,300.0
31,finger,spin,1.0,0.004,0,985.5,310000,310.0
32,finger,spin,1.0,0.004,0,987.7999877929688,320000,320.0
33,finger,spin,1.0,0.004,0,988.0999755859375,330000,330.0
34,finger,spin,1.0,0.004,0,983.0999755859375,340000,340.0
35,finger,spin,1.0,0.004,0,961.0,350000,350.0
36,finger,spin,1.0,0.004,0,984.4000244140625,360000,360.0
37,finger,spin,1.0,0.004,0,986.0999755859375,370000,370.0
38,finger,spin,1.0,0.004,0,985.7999877929688,380000,380.0
39,finger,spin,1.0,0.004,0,987.7999877929688,390000,390.0
40,finger,spin,1.0,0.004,0,987.7000122070312,400000,400.0
41,finger,spin,1.0,0.004,0,983.2000122070312,410000,410.0
42,finger,spin,1.0,0.004,0,982.5999755859375,420000,420.0
43,finger,spin,1.0,0.004,0,984.5999755859375,430000,430.0
44,finger,spin,1.0,0.004,0,977.7000122070312,440000,440.0
45,finger,spin,1.0,0.004,0,985.2000122070312,450000,450.0
46,finger,spin,1.0,0.004,0,981.2000122070312,460000,460.0
47,finger,spin,1.0,0.004,0,975.7999877929688,470000,470.0
48,finger,spin,1.0,0.004,0,886.9000244140625,480000,480.0
49,finger,spin,1.0,0.004,0,979.2999877929688,490000,490.0
50,finger,spin,1.0,0.004,0,979.2999877929688,500000,500.0
51,finger,spin,1.0,0.004,0,876.0,510000,510.0
52,finger,spin,1.0,0.004,0,982.9000244140625,520000,520.0
53,finger,spin,1.0,0.004,0,984.0,530000,530.0
54,finger,spin,1.0,0.004,0,953.2999877929688,540000,540.0
55,finger,spin,1.0,0.004,0,986.9000244140625,550000,550.0
56,finger,spin,1.0,0.004,0,981.2000122070312,560000,560.0
57,finger,spin,1.0,0.004,0,987.2000122070312,570000,570.0
58,finger,spin,1.0,0.004,0,956.5,580000,580.0
59,finger,spin,1.0,0.004,0,981.5999755859375,590000,590.0
60,finger,spin,1.0,0.004,0,981.7000122070312,600000,600.0
61,finger,spin,1.0,0.004,0,984.5999755859375,610000,610.0
62,finger,spin,1.0,0.004,0,980.2999877929688,620000,620.0
63,finger,spin,1.0,0.004,0,985.9000244140625,630000,630.0
64,finger,spin,1.0,0.004,0,986.7000122070312,640000,640.0
65,finger,spin,1.0,0.004,0,986.7999877929688,650000,650.0
66,finger,spin,1.0,0.004,0,984.5999755859375,660000,660.0
67,finger,spin,1.0,0.004,0,887.0999755859375,670000,670.0
68,finger,spin,1.0,0.004,0,989.0999755859375,680000,680.0
69,finger,spin,1.0,0.004,0,986.5,690000,690.0
70,finger,spin,1.0,0.004,0,980.7999877929688,700000,700.0
71,finger,spin,1.0,0.004,0,985.5999755859375,710000,710.0
72,finger,spin,1.0,0.004,0,988.2999877929688,720000,720.0
73,finger,spin,1.0,0.004,0,984.9000244140625,730000,730.0
74,finger,spin,1.0,0.004,0,985.5,740000,740.0
75,finger,spin,1.0,0.004,0,984.7999877929688,750000,750.0
76,finger,spin,1.0,0.004,0,974.4000244140625,760000,760.0
77,finger,spin,1.0,0.004,0,886.7000122070312,770000,770.0
78,finger,spin,1.0,0.004,0,986.5,780000,780.0
79,finger,spin,1.0,0.004,0,985.7000122070312,790000,790.0
80,finger,spin,1.0,0.004,0,985.7000122070312,800000,800.0
81,finger,spin,1.0,0.004,0,984.0999755859375,810000,810.0
82,finger,spin,1.0,0.004,0,987.0,820000,820.0
83,finger,spin,1.0,0.004,0,986.9000244140625,830000,830.0
84,finger,spin,1.0,0.004,0,983.7000122070312,840000,840.0
85,finger,spin,1.0,0.004,0,986.7000122070312,850000,850.0
86,finger,spin,1.0,0.004,0,985.9000244140625,860000,860.0
87,finger,spin,1.0,0.004,0,988.9000244140625,870000,870.0
88,finger,spin,1.0,0.004,0,989.4000244140625,880000,880.0
89,finger,spin,1.0,0.004,0,987.0999755859375,890000,890.0
90,finger,spin,1.0,0.004,0,984.2999877929688,900000,900.0
91,finger,spin,1.0,0.004,0,986.0999755859375,910000,910.0
92,finger,spin,1.0,0.004,0,985.2999877929688,920000,920.0
93,finger,spin,1.0,0.004,0,987.4000244140625,930000,930.0
94,finger,spin,1.0,0.004,0,991.0,940000,940.0
95,finger,spin,1.0,0.004,0,961.0,950000,950.0
96,finger,spin,1.0,0.004,0,988.2000122070312,960000,960.0
97,finger,spin,1.0,0.004,0,982.2999877929688,970000,970.0
98,finger,spin,1.0,0.004,0,987.0999755859375,980000,980.0
99,finger,spin,1.0,0.004,0,976.7999877929688,990000,990.0
100,finger,spin,1.0,0.004,0,987.2999877929688,1000000,1000.0
101,finger,spin,1.0,0.004,0,987.7000122070312,1010000,1010.0
102,finger,spin,1.0,0.004,0,986.0999755859375,1020000,1020.0
103,finger,spin,1.0,0.004,0,986.9000244140625,1030000,1030.0
104,finger,spin,1.0,0.004,0,983.4000244140625,1040000,1040.0
105,finger,spin,1.0,0.004,0,987.5999755859375,1050000,1050.0
106,finger,spin,1.0,0.004,0,985.0,1060000,1060.0
107,finger,spin,1.0,0.004,0,982.7999877929688,1070000,1070.0
108,finger,spin,1.0,0.004,0,984.0999755859375,1080000,1080.0
109,finger,spin,1.0,0.004,0,984.5,1090000,1090.0
110,finger,spin,1.0,0.004,0,983.2999877929688,1100000,1100.0
111,finger,spin,1.0,0.004,0,985.5,1110000,1110.0
112,finger,spin,1.0,0.004,0,986.7999877929688,1120000,1120.0
113,finger,spin,1.0,0.004,0,987.2999877929688,1130000,1130.0
114,finger,spin,1.0,0.004,0,983.0,1140000,1140.0
115,finger,spin,1.0,0.004,0,881.4000244140625,1150000,1150.0
116,finger,spin,1.0,0.004,0,984.9000244140625,1160000,1160.0
117,finger,spin,1.0,0.004,0,986.5999755859375,1170000,1170.0
118,finger,spin,1.0,0.004,0,984.5999755859375,1180000,1180.0
119,finger,spin,1.0,0.004,0,980.9000244140625,1190000,1190.0
120,finger,spin,1.0,0.004,0,980.5999755859375,1200000,1200.0
121,finger,spin,1.0,0.004,0,988.0,1210000,1210.0
122,finger,spin,1.0,0.004,0,979.0999755859375,1220000,1220.0
123,finger,spin,1.0,0.004,0,989.7999877929688,1230000,1230.0
124,finger,spin,1.0,0.004,0,990.5,1240000,1240.0
125,finger,spin,1.0,0.004,0,859.0,1250000,1250.0
126,finger,spin,1.0,0.004,0,982.7999877929688,1260000,1260.0
127,finger,spin,1.0,0.004,0,984.5,1270000,1270.0
128,finger,spin,1.0,0.004,0,986.5,1280000,1280.0
129,finger,spin,1.0,0.004,0,982.7999877929688,1290000,1290.0
130,finger,spin,1.0,0.004,0,980.9000244140625,1300000,1300.0
131,finger,spin,1.0,0.004,0,985.0999755859375,1310000,1310.0
132,finger,spin,1.0,0.004,0,982.9000244140625,1320000,1320.0
133,finger,spin,1.0,0.004,0,983.5999755859375,1330000,1330.0
134,finger,spin,1.0,0.004,0,985.7999877929688,1340000,1340.0
135,finger,spin,1.0,0.004,0,984.0,1350000,1350.0
