,domain_name,task_name,action_repeat,decoder_var,trial_id,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
0,reacher,easy,4.0,0.004,0,81.5999984741211,0,0.0
1,reacher,easy,4.0,0.004,0,124.0999984741211,10000,10.0
2,reacher,easy,4.0,0.004,0,240.1999969482422,20000,20.0
3,reacher,easy,4.0,0.004,0,41.79999923706055,30000,30.0
4,reacher,easy,4.0,0.004,0,580.5,40000,40.0
5,reacher,easy,4.0,0.004,0,121.4000015258789,50000,50.0
6,reacher,easy,4.0,0.004,0,182.39999389648438,60000,60.0
7,reacher,easy,4.0,0.004,0,242.39999389648438,70000,70.0
8,reacher,easy,4.0,0.004,0,377.6000061035156,80000,80.0
9,reacher,easy,4.0,0.004,0,360.3999938964844,90000,90.0
10,reacher,easy,4.0,0.004,0,378.8999938964844,100000,100.0
11,reacher,easy,4.0,0.004,0,540.0,110000,110.0
12,reacher,easy,4.0,0.004,0,194.39999389648438,120000,120.0
13,reacher,easy,4.0,0.004,0,476.3999938964844,130000,130.0
14,reacher,easy,4.0,0.004,0,484.29998779296875,140000,140.0
15,reacher,easy,4.0,0.004,0,301.70001220703125,150000,150.0
16,reacher,easy,4.0,0.004,0,533.2000122070312,160000,160.0
17,reacher,easy,4.0,0.004,0,381.1000061035156,170000,170.0
18,reacher,easy,4.0,0.004,0,675.2999877929688,180000,180.0
19,reacher,easy,4.0,0.004,0,633.9000244140625,190000,190.0
20,reacher,easy,4.0,0.004,0,783.7000122070312,200000,200.0
21,reacher,easy,4.0,0.004,0,679.2000122070312,210000,210.0
22,reacher,easy,4.0,0.004,0,912.7000122070312,220000,220.0
23,reacher,easy,4.0,0.004,0,439.20001220703125,230000,230.0
24,reacher,easy,4.0,0.004,0,727.0999755859375,240000,240.0
25,reacher,easy,4.0,0.004,0,535.7999877929688,250000,250.0
26,reacher,easy,4.0,0.004,0,525.9000244140625,260000,260.0
27,reacher,easy,4.0,0.004,0,768.5,270000,270.0
28,reacher,easy,4.0,0.004,0,491.3999938964844,280000,280.0
29,reacher,easy,4.0,0.004,0,686.2999877929688,290000,290.0
30,reacher,easy,4.0,0.004,0,658.5,300000,300.0
31,reacher,easy,4.0,0.004,0,554.4000244140625,310000,310.0
32,reacher,easy,4.0,0.004,0,952.5,320000,320.0
33,reacher,easy,4.0,0.004,0,783.2999877929688,330000,330.0
34,reacher,easy,4.0,0.004,0,968.9000244140625,340000,340.0
35,reacher,easy,4.0,0.004,0,824.9000244140625,350000,350.0
36,reacher,easy,4.0,0.004,0,805.2999877929688,360000,360.0
37,reacher,easy,4.0,0.004,0,824.2000122070312,370000,370.0
38,reacher,easy,4.0,0.004,0,750.7000122070312,380000,380.0
39,reacher,easy,4.0,0.004,0,833.5,390000,390.0
40,reacher,easy,4.0,0.004,0,858.2999877929688,400000,400.0
41,reacher,easy,4.0,0.004,0,735.2000122070312,410000,410.0
42,reacher,easy,4.0,0.004,0,766.7999877929688,420000,420.0
43,reacher,easy,4.0,0.004,0,796.0,430000,430.0
44,reacher,easy,4.0,0.004,0,960.0999755859375,440000,440.0
45,reacher,easy,4.0,0.004,0,938.2000122070312,450000,450.0
46,reacher,easy,4.0,0.004,0,834.7999877929688,460000,460.0
47,reacher,easy,4.0,0.004,0,696.4000244140625,470000,470.0
48,reacher,easy,4.0,0.004,0,947.0,480000,480.0
49,reacher,easy,4.0,0.004,0,728.2000122070312,490000,490.0
50,reacher,easy,4.0,0.004,0,753.5,500000,500.0
51,reacher,easy,4.0,0.004,0,842.5,510000,510.0
52,reacher,easy,4.0,0.004,0,836.4000244140625,520000,520.0
53,reacher,easy,4.0,0.004,0,755.0999755859375,530000,530.0
54,reacher,easy,4.0,0.004,0,769.0,540000,540.0
55,reacher,easy,4.0,0.004,0,809.0,550000,550.0
56,reacher,easy,4.0,0.004,0,746.9000244140625,560000,560.0
57,reacher,easy,4.0,0.004,0,487.29998779296875,570000,570.0
58,reacher,easy,4.0,0.004,0,779.9000244140625,580000,580.0
59,reacher,easy,4.0,0.004,0,685.5,590000,590.0
60,reacher,easy,4.0,0.004,0,956.7999877929688,600000,600.0
61,reacher,easy,4.0,0.004,0,888.2999877929688,610000,610.0
62,reacher,easy,4.0,0.004,0,856.2999877929688,620000,620.0
63,reacher,easy,4.0,0.004,0,876.0,630000,630.0
64,reacher,easy,4.0,0.004,0,827.7999877929688,640000,640.0
65,reacher,easy,4.0,0.004,0,846.2000122070312,650000,650.0
66,reacher,easy,4.0,0.004,0,664.7000122070312,660000,660.0
67,reacher,easy,4.0,0.004,0,819.9000244140625,670000,670.0
68,reacher,easy,4.0,0.004,0,841.0,680000,680.0
69,reacher,easy,4.0,0.004,0,883.5,690000,690.0
70,reacher,easy,4.0,0.004,0,962.5999755859375,700000,700.0
71,reacher,easy,4.0,0.004,0,762.2000122070312,710000,710.0
72,reacher,easy,4.0,0.004,0,959.5,720000,720.0
73,reacher,easy,4.0,0.004,0,858.2000122070312,730000,730.0
74,reacher,easy,4.0,0.004,0,906.4000244140625,740000,740.0
75,reacher,easy,4.0,0.004,0,779.0,750000,750.0
76,reacher,easy,4.0,0.004,0,682.9000244140625,760000,760.0
77,reacher,easy,4.0,0.004,0,921.4000244140625,770000,770.0
78,reacher,easy,4.0,0.004,0,698.7999877929688,780000,780.0
