,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
0,48.61469268798828,0,0.0
1,48.11540603637695,10000,10.0
2,51.58281326293945,20000,20.0
3,101.61164855957031,30000,30.0
4,146.20999145507812,40000,40.0
5,191.4989013671875,50000,50.0
6,230.46932983398438,60000,60.0
7,316.440185546875,70000,70.0
8,351.54803466796875,80000,80.0
9,424.2666015625,90000,90.0
10,442.7945251464844,100000,100.0
11,481.728271484375,110000,110.0
12,489.26055908203125,120000,120.0
13,490.0616149902344,130000,130.0
14,514.2420654296875,140000,140.0
15,537.085693359375,150000,150.0
16,526.5855712890625,160000,160.0
17,538.5272827148438,170000,170.0
18,573.175537109375,180000,180.0
19,564.2305908203125,190000,190.0
20,567.1673583984375,200000,200.0
21,567.7044677734375,210000,210.0
22,591.93359375,220000,220.0
23,610.848388671875,230000,230.0
24,636.3562622070312,240000,240.0
25,639.6350708007812,250000,250.0
26,661.6295166015625,260000,260.0
27,711.466064453125,270000,270.0
28,741.1607666015625,280000,280.0
29,837.1993408203125,290000,290.0
30,850.3525390625,300000,300.0
31,788.3514404296875,310000,310.0
32,889.1668701171875,320000,320.0
33,891.42919921875,330000,330.0
34,904.2962036132812,340000,340.0
35,927.3146362304688,350000,350.0
36,936.2841796875,360000,360.0
37,925.9890747070312,370000,370.0
38,930.91259765625,380000,380.0
39,942.0911254882812,390000,390.0
40,943.3444213867188,400000,400.0
41,937.4581298828125,410000,410.0
42,949.1681518554688,420000,420.0
43,923.7733154296875,430000,430.0
44,949.8358154296875,440000,440.0
45,949.0392456054688,450000,450.0
46,929.4993286132812,460000,460.0
47,953.232421875,470000,470.0
48,947.6287841796875,480000,480.0
49,931.6588134765625,490000,490.0
50,941.5618286132812,500000,500.0
51,910.0401611328125,510000,510.0
52,816.2960815429688,520000,520.0
53,935.5938720703125,530000,530.0
54,834.1800537109375,540000,540.0
55,921.0130615234375,550000,550.0
56,719.7159423828125,560000,560.0
57,947.1331787109375,570000,570.0
58,932.28466796875,580000,580.0
59,785.1334228515625,590000,590.0
60,867.8709716796875,600000,600.0
61,947.4957275390625,610000,610.0
62,943.6849365234375,620000,620.0
63,917.7236328125,630000,630.0
64,947.2646484375,640000,640.0
65,920.7626953125,650000,650.0
66,943.52197265625,660000,660.0
67,948.6563720703125,670000,670.0
68,943.7252197265625,680000,680.0
69,950.9776611328125,690000,690.0
70,952.4039306640625,700000,700.0
71,949.5969848632812,710000,710.0
72,952.4514770507812,720000,720.0
73,945.6571044921875,730000,730.0
74,938.9666137695312,740000,740.0
75,938.93701171875,750000,750.0
76,918.7057495117188,760000,760.0
77,955.1622924804688,770000,770.0
78,953.14208984375,780000,780.0
79,950.6947021484375,790000,790.0
80,651.7757568359375,800000,800.0
81,912.2374877929688,810000,810.0
82,941.8265380859375,820000,820.0
83,930.15673828125,830000,830.0
84,937.78759765625,840000,840.0
85,934.1546630859375,850000,850.0
86,950.0809326171875,860000,860.0
87,947.9803466796875,870000,870.0
88,948.6546630859375,880000,880.0
89,919.0997924804688,890000,890.0
90,626.470458984375,900000,900.0
91,935.4495239257812,910000,910.0
92,956.9451904296875,920000,920.0
93,928.67236328125,930000,930.0
94,946.1112060546875,940000,940.0
95,954.2637939453125,950000,950.0
96,956.43994140625,960000,960.0
97,962.3245239257812,970000,970.0
98,855.2591552734375,980000,980.0
99,938.5233154296875,990000,990.0
100,926.1788940429688,1000000,1000.0
101,959.7599487304688,1010000,1010.0
102,948.8736572265625,1020000,1020.0
103,929.7151489257812,1030000,1030.0
104,956.5860595703125,1040000,1040.0
105,966.0374145507812,1050000,1050.0
106,943.6353759765625,1060000,1060.0
107,949.203125,1070000,1070.0
108,961.0929565429688,1080000,1080.0
109,961.8665161132812,1090000,1090.0
110,958.900390625,1100000,1100.0
111,940.4186401367188,1110000,1110.0
112,960.0848388671875,1120000,1120.0
113,948.3138427734375,1130000,1130.0
114,933.5986328125,1140000,1140.0
115,948.1994018554688,1150000,1150.0
116,935.0576171875,1160000,1160.0
117,918.9063720703125,1170000,1170.0
118,947.1339111328125,1180000,1180.0
119,928.8386840820312,1190000,1190.0
120,950.0554809570312,1200000,1200.0
121,941.3931884765625,1210000,1210.0
122,949.3974609375,1220000,1220.0
123,962.16650390625,1230000,1230.0
124,958.3517150878906,1240000,1240.0
125,927.46484375,1250000,1250.0
126,959.416015625,1260000,1260.0
127,966.4205322265625,1270000,1270.0
128,957.0841674804688,1280000,1280.0
129,638.5548706054688,1290000,1290.0
130,861.6218872070312,1300000,1300.0
131,931.1630859375,1310000,1310.0
132,962.15966796875,1320000,1320.0
133,936.2775268554688,1330000,1330.0
134,947.298828125,1340000,1340.0
135,941.2434692382812,1350000,1350.0
136,953.1788940429688,1360000,1360.0
137,906.8369140625,1370000,1370.0
138,888.4284057617188,1380000,1380.0
139,957.6282348632812,1390000,1390.0
140,950.8828125,1400000,1400.0
141,947.7307739257812,1410000,1410.0
142,959.3551635742188,1420000,1420.0
143,959.2550048828125,1430000,1430.0
144,743.1051025390625,1440000,1440.0
145,947.6414184570312,1450000,1450.0
146,959.19140625,1460000,1460.0
147,958.8902587890625,1470000,1470.0
148,944.4901123046875,1480000,1480.0
149,852.9962768554688,1490000,1490.0
150,935.2586059570312,1500000,1500.0
151,932.3943481445312,1510000,1510.0
152,961.5433349609375,1520000,1520.0
153,933.3861083984375,1530000,1530.0
154,955.1007690429688,1540000,1540.0
155,953.3856201171875,1550000,1550.0
156,943.3984375,1560000,1560.0
157,936.9635009765625,1570000,1570.0
158,960.9554443359375,1580000,1580.0
159,969.05224609375,1590000,1590.0
160,942.7554931640625,1600000,1600.0
161,952.5870971679688,1610000,1610.0
162,926.5379638671875,1620000,1620.0
163,952.1192626953125,1630000,1630.0
164,957.0592651367188,1640000,1640.0
165,956.0595703125,1650000,1650.0
166,914.841796875,1660000,1660.0
167,949.7579345703125,1670000,1670.0
168,871.2113037109375,1680000,1680.0
169,952.2330322265625,1690000,1690.0
170,952.29150390625,1700000,1700.0
171,957.0467529296875,1710000,1710.0
172,957.5798950195312,1720000,1720.0
173,950.3743286132812,1730000,1730.0
174,960.0745239257812,1740000,1740.0
175,962.5242309570312,1750000,1750.0
176,921.5725708007812,1760000,1760.0
177,928.8200073242188,1770000,1770.0
178,940.658203125,1780000,1780.0
179,902.25927734375,1790000,1790.0
180,956.2896728515625,1800000,1800.0
181,921.89013671875,1810000,1810.0
182,951.4127807617188,1820000,1820.0
183,917.21337890625,1830000,1830.0
184,883.53857421875,1840000,1840.0
185,897.77978515625,1850000,1850.0
186,951.5681762695312,1860000,1860.0
187,943.2512817382812,1870000,1870.0
188,932.6467895507812,1880000,1880.0
189,961.0584106445312,1890000,1890.0
190,944.962890625,1900000,1900.0
191,962.02880859375,1910000,1910.0
192,960.2623291015625,1920000,1920.0
193,955.77099609375,1930000,1930.0
194,950.8087158203125,1940000,1940.0
195,937.9700317382812,1950000,1950.0
196,966.5343017578125,1960000,1960.0
197,862.2261962890625,1970000,1970.0
198,908.3717041015625,1980000,1980.0
199,955.7952270507812,1990000,1990.0
200,952.6183471679688,2000000,2000.0
